Event Index Number,Reproduced depth (km),Depth with STAR (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,
852,116.289062,115.585938,,0.703124,YES,,YES,YES,,,
853,109.257812,-4.824219,,114.082031,,,YES,,,YES,Original IDE swithed to shallow event
865,121.210938,-4.824219,,126.035157,,,YES,,,YES,Original IDE swithed to shallow event
879,-4.824219,-4.824219,,0,YES,,,,YES,YES,
880,100.117188,-4.824219,,104.941407,,,YES,,,YES,Original IDE swithed to shallow event
883,106.445312,-4.824219,,111.269531,,,YES,,,YES,Original IDE swithed to shallow event
884,-4.648438,-0.429688,,4.21875,YES,,,,YES,YES,
885,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
886,121.914062,121.738281,,0.175781,YES,,YES,YES,,,
890,131.054688,131.054688,,0,YES,,YES,YES,,,
891,105.390625,82.539062,,22.851563,,,YES,YES,,,
892,-4.824219,-2.011719,,2.8125,YES,,,,YES,YES,
893,114.882812,-4.912109,,119.794921,,,YES,,,YES,Original IDE swithed to shallow event
894,151.445312,151.445312,,0,YES,,YES,YES,,,
896,140.898438,140.898438,,0,YES,,YES,YES,,,
897,-3.59375,93.085938,,96.679688,,,,YES,YES,,Original shallow event switched to IDE event
898,-4.296875,2.382812,,6.679687,YES,,,,YES,YES,
900,129.648438,-4.824219,,134.472657,,,YES,,,YES,Original IDE swithed to shallow event
901,131.054688,-4.648438,,135.703126,,,YES,,,YES,Original IDE swithed to shallow event
902,127.890625,-4.648438,,132.539063,,,YES,,,YES,Original IDE swithed to shallow event
903,-4.912109,-4.824219,,0.08789,YES,,,,YES,YES,
904,93.085938,85.527344,,7.558594,YES,,YES,YES,,,
905,98.535156,-4.648438,,103.183594,,,YES,,,YES,Original IDE swithed to shallow event
906,123.320312,-4.824219,,128.144531,,,YES,,,YES,Original IDE swithed to shallow event
910,51.601562,76.738281,,25.136719,,,,YES,,,
913,117.695312,-4.648438,,122.34375,,,YES,,,YES,Original IDE swithed to shallow event
914,126.132812,116.289062,,9.84375,YES,,YES,YES,,,
915,113.476562,81.660156,,31.816406,,,YES,YES,,,
916,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
917,-4.824219,-4.824219,,0,YES,,,,YES,YES,
918,-4.648438,-4.648438,,0,YES,,,,YES,YES,
919,108.730469,-4.824219,,113.554688,,,YES,,,YES,Original IDE swithed to shallow event
920,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
921,-4.648438,-4.648438,,0,YES,,,,YES,YES,
922,118.398438,-4.824219,,123.222657,,,YES,,,YES,Original IDE swithed to shallow event
923,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
924,-4.296875,95.019531,,99.316406,,,,YES,YES,,Original shallow event switched to IDE event
925,115.234375,-4.648438,,119.882813,,,YES,,,YES,Original IDE swithed to shallow event
